#section:010859020126, isUP:0, length:-5, detectors:4
#time, lane, vehicle_id, vehicle_type, origin, destination, velocity
000112400,01030002,000000,20,011347,009851,0.000766506
000115800,01030002,000022,20,011347,009851,0.0041765
000118000,01040001,000024,20,011347,009851,0.0043607
000118600,01030002,000028,20,011347,009851,0.0040222
000120700,01040001,000035,20,011347,009851,0.00399405
000123500,01030002,000066,20,011347,009851,0.00388617
000124100,01040001,000054,20,011347,010852,0.0043347
000129100,01030002,000074,20,011347,008489,0.00238772
000130400,01040001,000057,20,011347,008489,0.00413245
000133500,01030002,000088,20,011347,008489,0.00438884
000133500,01050000,000072,20,011347,010852,0.00378475
000136200,01050000,000079,20,011347,010852,0.00369384
000137900,01020003,000102,20,011347,010866,0.00404146
000140900,01040001,000089,20,011347,009851,0.000780423
000144400,01020003,000114,20,011347,010866,0.00262029
000146200,01030002,000121,20,011347,010866,0.00434668
000148900,01040001,000117,20,011347,009851,0.00392411
000150200,01030002,000135,20,011347,008489,0.00390719
000151700,01040001,000149,20,011347,010866,0.00439495
000153000,01030002,000148,20,011347,009851,0.00411095
000160600,01020003,000151,20,011347,008777,0.00388244
