#section:000000000002, isUP:1, length:1, detectors:2
#time, lane, vehicle_id, vehicle_type, origin, destination, velocity
066502900,00020101,036653,21,000001,000002,0.0166667
066503300,00030100,036654,21,000001,000002,0.0166613
000006300,00020101,000000,21,000001,000002,0.0166667
000008800,00020101,000001,21,000001,000002,0.0164657
000012700,00020101,000002,21,000001,000002,0.0160275
000012900,00030100,000003,21,000001,000002,0.0166667
066508300,00020101,036655,21,000001,000002,0.0166666
066508500,00030100,036656,21,000001,000002,0.016666
000014900,00020101,000004,21,000001,000002,0.0157586
000015300,00030100,000005,21,000001,000002,0.0164057
066510600,00030100,036657,21,000001,000002,0.0154225
000016900,00020101,000006,21,000001,000002,0.01498
000020000,00020101,000009,21,000001,000002,0.0158033
000020100,00030100,000011,21,000001,000002,0.0164944
066512700,00020101,036658,21,000001,000002,0.0161938
000025000,00020101,000013,21,000001,000002,0.0164965
000028600,00030100,000015,21,000001,000002,0.0166659
066518200,00030100,036662,21,000001,000002,0.0166068
000030700,00030100,000017,21,000001,000002,0.0156583
066520400,00030100,036663,21,000001,000002,0.0153812
066523600,00020101,036665,21,000001,000002,0.0166667
000035200,00020101,000018,21,000001,000002,0.0166667
000035700,00030100,000019,21,000001,000002,0.0163566
066525300,00030100,036666,21,000001,000002,0.0163517
066527100,00020101,036668,21,000001,000002,0.0166562
066527400,00030100,036667,21,000001,000002,0.0152908
000039100,00020101,000020,21,000001,000002,0.0166636
066529500,00030100,036669,21,000001,000002,0.0146699
000041600,00030100,000021,21,000001,000002,0.0166431
066531600,00030100,036671,21,000001,000002,0.0152109
000044900,00020101,000022,21,000001,000002,0.016403
000047200,00020101,000023,21,000001,000002,0.0159453
000049400,00030100,000025,21,000001,000002,0.0166663
000049800,00020101,000026,21,000001,000002,0.0161855
000053100,00020101,000028,21,000001,000002,0.016426
066541500,00030100,036673,21,000001,000002,0.0166667
000062700,00030100,000032,21,000001,000002,0.0166667
000065400,00020101,000033,21,000001,000002,0.0166667
000066100,00030100,000034,21,000001,000002,0.0166524
066553500,00030100,036678,21,000001,000002,0.0166667
066555600,00020101,036680,21,000001,000002,0.0166667
000074200,00020101,000038,21,000001,000002,0.0166667
066559600,00020101,036682,21,000001,000002,0.0166644
066563300,00030100,036685,21,000001,000002,0.0166667
066564200,00020101,036686,21,000001,000002,0.0162317
000080900,00030100,000039,21,000001,000002,0.0166667
000081500,00020101,000040,21,000001,000002,0.0166667
066573400,00020101,036688,21,000001,000002,0.0166667
000089100,00030100,000044,21,000001,000002,0.0166667
000097500,00030100,000047,21,000001,000002,0.0166667
000099600,00030100,000048,21,000001,000002,0.0154232
066583500,00020101,036692,21,000001,000002,0.0166667
000100600,00020101,000049,21,000001,000002,0.0166667
000102000,00030100,000050,21,000001,000002,0.0158934
000102700,00020101,000051,21,000001,000002,0.0153785
000104100,00030100,000052,21,000001,000002,0.0150693
066586200,00020101,036694,21,000001,000002,0.0165503
000106100,00020101,000054,21,000001,000002,0.0161509
000106200,00030100,000053,21,000001,000002,0.0152846
066587000,00030100,036695,21,000001,000002,0.0166667
066588700,00020101,036696,21,000001,000002,0.0142149
000108300,00030100,000055,21,000001,000002,0.0148165
066589800,00030100,036698,21,000001,000002,0.0165789
066590700,00020101,036697,21,000001,000002,0.0140053
066593900,00020101,036700,21,000001,000002,0.0153874
000113600,00020101,000058,21,000001,000002,0.0166521
066596100,00030100,036702,21,000001,000002,0.0164883
000116700,00020101,000060,21,000001,000002,0.0166288
000116900,00030100,000061,21,000001,000002,0.0166299
000119900,00020101,000062,21,000001,000002,0.0158459
066600900,00020101,036704,21,000001,000002,0.016595
066603000,00020101,036705,21,000001,000002,0.0153902
066605300,00020101,036706,21,000001,000002,0.0157597
000126500,00030100,000064,21,000001,000002,0.0166667
000129800,00020101,000065,21,000001,000002,0.0166667
066610900,00020101,036712,21,000001,000002,0.0163958
066613600,00020101,036713,21,000001,000002,0.0164556
000134200,00030100,000068,21,000001,000002,0.0166667
000140000,00030100,000072,21,000001,000002,0.0166667
000143500,00030100,000073,21,000001,000002,0.0165411
066622600,00020101,036718,21,000001,000002,0.0166667
066623000,00030100,036719,21,000001,000002,0.0166667
066624800,00020101,036720,21,000001,000002,0.0154035
066627400,00030100,036721,21,000001,000002,0.016666
000151200,00020101,000078,21,000001,000002,0.0166667
066629800,00020101,036722,21,000001,000002,0.0163835
000152300,00030100,000079,21,000001,000002,0.0166665
066631900,00020101,036723,21,000001,000002,0.0154256
066632400,00030100,036724,21,000001,000002,0.0162989
000155200,00020101,000083,21,000001,000002,0.0166644
066635600,00020101,036727,21,000001,000002,0.0161225
000159600,00020101,000085,21,000001,000002,0.0161936
000160500,00030100,000086,21,000001,000002,0.0166667
066640000,00030100,036729,21,000001,000002,0.0166596
000164600,00020101,000088,21,000001,000002,0.0166076
066647000,00030100,036735,21,000001,000002,0.0166664
000170600,00030100,000090,21,000001,000002,0.0166667
000172000,00020101,000091,21,000001,000002,0.0166653
066650100,00020101,036736,21,000001,000002,0.0166667
000172700,00030100,000092,21,000001,000002,0.015559
000175900,00020101,000093,21,000001,000002,0.0166634
066654300,00030100,036739,21,000001,000002,0.0166667
000178900,00030100,000094,21,000001,000002,0.0164888
066658400,00020101,036740,21,000001,000002,0.0166667
066658700,00030100,036741,21,000001,000002,0.016666
000182200,00020101,000095,21,000001,000002,0.0166662
066662400,00030100,036743,21,000001,000002,0.0160269
000185000,00020101,000097,21,000001,000002,0.0165788
000188200,00020101,000099,21,000001,000002,0.0156367
000188500,00030100,000100,21,000001,000002,0.0166667
000194700,00030100,000104,21,000001,000002,0.0166667
000196000,00020101,000106,21,000001,000002,0.0166502
000196800,00030100,000107,21,000001,000002,0.015559
000198600,00020101,000108,21,000001,000002,0.0165111
000200900,00030100,000110,21,000001,000002,0.016227
000201800,00020101,000111,21,000001,000002,0.0157886
000203800,00020101,000112,21,000001,000002,0.0149514
066692700,00020101,036753,21,000001,000002,0.0166667
000220000,00020101,000119,21,000001,000002,0.0166667
066696600,00030100,036754,21,000001,000002,0.0166667
066697400,00020101,036755,21,000001,000002,0.0166664
000222400,00030100,000121,21,000001,000002,0.0166667
000226500,00030100,000124,21,000001,000002,0.016665
000230900,00020101,000127,21,000001,000002,0.0166667
000231600,00030100,000128,21,000001,000002,0.0163138
000233100,00020101,000129,21,000001,000002,0.0154035
000233800,00030100,000130,21,000001,000002,0.0156731
066703600,00030100,036759,21,000001,000002,0.0166667
000235200,00020101,000131,21,000001,000002,0.0154565
000237700,00030100,000133,21,000001,000002,0.016224
