#section:000000000003, isUP:1, length:1, detectors:2
#time, lane, vehicle_id, vehicle_type, origin, destination, velocity
000012200,00020101,000005,51,000001,000003,0.0166667
000017500,00020101,000008,51,000001,000003,0.0166666
000020300,00030100,000009,51,000001,000002,0.015677
000022000,00020101,000013,51,000001,000003,0.015849
000024900,00020101,000016,22,000001,000004,0.0156163
000030300,00020101,000022,51,000001,000004,0.015674
000031900,00030100,000024,51,000001,000003,0.0155902
000034300,00020101,000025,51,000001,000004,0.0156198
000036600,00020101,000028,51,000001,000003,0.0150216
000042500,00030100,000038,51,000001,000003,0.016398
000050400,00020101,000051,51,000001,000003,0.0163306
000053000,00030100,000052,51,000001,000002,0.0157415
000076200,00030100,000012,21,000004,000003,0.00830385
000086700,00030100,000041,21,000004,000003,0.00917922
000097100,00030100,000059,21,000004,000003,0.0100336
000115400,00030100,000097,21,000004,000003,0.0106827
000120700,00030100,000103,21,000004,000003,0.0105636
000131800,00020101,000033,21,000002,000003,0.00894345
000144200,00020101,000057,51,000001,000004,0.0120083
000146600,00030100,000069,51,000001,000002,0.013036
000148600,00020101,000068,51,000001,000003,0.0129526
000148900,00030100,000070,51,000001,000003,0.01273
000151200,00020101,000074,51,000001,000004,0.0133791
000154600,00030100,000079,51,000001,000003,0.0148657
000156800,00020101,000080,22,000001,000004,0.0145938
000159200,00020101,000084,51,000001,000004,0.0149879
000162200,00030100,000091,51,000001,000002,0.0150109
000166000,00020101,000122,22,000001,000004,0.0150998
000171900,00020101,000130,51,000001,000004,0.0156427
000173600,00030100,000133,51,000001,000003,0.0155479
000175900,00030100,000136,51,000001,000003,0.0147044
000178000,00020101,000137,22,000001,000004,0.0152072
000182300,00030100,000142,51,000001,000002,0.0155823
000184600,00030100,000145,51,000001,000003,0.0146843
000186800,00020101,000146,51,000001,000004,0.0150223
000188300,00030100,000147,51,000001,000003,0.0154921
000190600,00020101,000148,51,000001,000004,0.0155511
000192200,00030100,000149,51,000001,000003,0.0156831
000194500,00020101,000150,22,000001,000004,0.0156629
000196800,00020101,000151,51,000001,000004,0.0145077
000212800,00030100,000110,21,000004,000003,0.00727124
